nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.03, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu_cm=0.5, model_path='save/Cifar-10-DPFL-ResNet18-adam3', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0008, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=8)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Round:  21 User: 309 Train Loss: 6.133
Norm:  tensor(2.8649, device='cuda:2')
Round:  21 User: 310 Train Loss: 6.147
Norm:  tensor(2.9082, device='cuda:2')
Round:  21 User: 311 Train Loss: 6.126
Norm:  tensor(2.7858, device='cuda:2')
Round:  21 User: 312 Train Loss: 6.167
Norm:  tensor(2.8071, device='cuda:2')
Round:  21 User: 313 Train Loss: 6.096
Norm:  tensor(2.8851, device='cuda:2')
Round:  21 User: 314 Train Loss: 6.152
Norm:  tensor(2.8307, device='cuda:2')
Round:  21 User: 315 Train Loss: 6.142
Norm:  tensor(2.8387, device='cuda:2')
Round:  21 User: 316 Train Loss: 6.118
Norm:  tensor(2.7722, device='cuda:2')
Round:  21 User: 317 Train Loss: 6.128
Norm:  tensor(2.6998, device='cuda:2')
Round:  21 User: 318 Train Loss: 6.239
Norm:  tensor(2.8367, device='cuda:2')
Round:  21 User: 319 Train Loss: 6.168
Norm:  tensor(2.7756, device='cuda:2')
Round:  21 User: 320 Train Loss: 6.150
Norm:  tensor(2.8869, device='cuda:2')
Round:  21 User: 321 Train Loss: 6.156
Norm:  tensor(2.7929, device='cuda:2')
Round:  21 User: 322 Train Loss: 6.136
Norm:  tensor(2.7219, device='cuda:2')
Round:  21 User: 323 Train Loss: 6.194
Norm:  tensor(2.8459, device='cuda:2')
Round:  21 User: 324 Train Loss: 6.125
Norm:  tensor(2.8022, device='cuda:2')
Round:  21 User: 325 Train Loss: 6.092
Norm:  tensor(2.8589, device='cuda:2')
Round:  21 User: 326 Train Loss: 6.105
Norm:  tensor(2.8175, device='cuda:2')
Round:  21 User: 327 Train Loss: 6.211
Norm:  tensor(2.7367, device='cuda:2')
Round:  21 User: 328 Train Loss: 6.213
Norm:  tensor(2.7560, device='cuda:2')
Round:  21 User: 329 Train Loss: 6.143
Norm:  tensor(2.9544, device='cuda:2')
Round:  21 User: 330 Train Loss: 6.090
Norm:  tensor(2.7495, device='cuda:2')
Round:  21 User: 331 Train Loss: 6.196
Norm:  tensor(2.6690, device='cuda:2')
Round:  21 User: 332 Train Loss: 6.213
Norm:  tensor(2.7377, device='cuda:2')
Round:  21 User: 333 Train Loss: 6.187
Norm:  tensor(2.8623, device='cuda:2')
Round:  21 User: 334 Train Loss: 6.175
Norm:  tensor(2.8210, device='cuda:2')
Round:  21 User: 335 Train Loss: 6.090
Norm:  tensor(2.7485, device='cuda:2')
Round:  21 User: 336 Train Loss: 6.114
Norm:  tensor(2.7347, device='cuda:2')
Round:  21 User: 337 Train Loss: 6.142
Norm:  tensor(2.7344, device='cuda:2')
Round:  21 User: 338 Train Loss: 6.091
Norm:  tensor(2.8602, device='cuda:2')
Round:  21 User: 339 Train Loss: 6.146
Norm:  tensor(2.7452, device='cuda:2')
Round:  21 User: 340 Train Loss: 6.131
Norm:  tensor(2.9105, device='cuda:2')
Round:  21 User: 341 Train Loss: 6.108
Norm:  tensor(2.8081, device='cuda:2')
Round:  21 User: 342 Train Loss: 6.128
Norm:  tensor(2.6740, device='cuda:2')
Round:  21 User: 343 Train Loss: 6.086
Norm:  tensor(2.7865, device='cuda:2')
Round:  21 User: 344 Train Loss: 6.114
Norm:  tensor(2.7585, device='cuda:2')
Round:  21 User: 345 Train Loss: 6.213
Norm:  tensor(2.7923, device='cuda:2')
Round:  21 User: 346 Train Loss: 6.158
Norm:  tensor(2.6921, device='cuda:2')
Round:  21 User: 347 Train Loss: 6.189
Norm:  tensor(2.8558, device='cuda:2')
Round:  21 User: 348 Train Loss: 6.096
Norm:  tensor(2.7378, device='cuda:2')
Round:  21 User: 349 Train Loss: 6.239
Norm:  tensor(2.7486, device='cuda:2')
Round:  21 User: 350 Train Loss: 6.120
Norm:  tensor(2.7970, device='cuda:2')
Round:  21 User: 351 Train Loss: 6.188
Norm:  tensor(2.7117, device='cuda:2')
Round:  21 User: 352 Train Loss: 6.128
Norm:  tensor(2.7516, device='cuda:2')
Round:  21 User: 353 Train Loss: 6.175
Norm:  tensor(2.8336, device='cuda:2')
Round:  21 User: 354 Train Loss: 6.155
Norm:  tensor(2.9027, device='cuda:2')
Round:  21 User: 355 Train Loss: 6.064
Norm:  tensor(2.7335, device='cuda:2')
Round:  21 User: 356 Train Loss: 6.157
Norm:  tensor(2.8624, device='cuda:2')
Round:  21 User: 357 Train Loss: 6.183
Norm:  tensor(2.7271, device='cuda:2')
Round:  21 User: 358 Train Loss: 6.114
Norm:  tensor(2.7457, device='cuda:2')
Round:  21 User: 359 Train Loss: 6.161
Norm:  tensor(2.7132, device='cuda:2')
Round:  21 User: 360 Train Loss: 6.146
Norm:  tensor(2.8879, device='cuda:2')
Round:  21 User: 361 Train Loss: 6.055
Norm:  tensor(2.9274, device='cuda:2')
Round:  21 User: 362 Train Loss: 6.073
Norm:  tensor(2.6365, device='cuda:2')
Round:  21 User: 363 Train Loss: 6.196
Norm:  tensor(2.8006, device='cuda:2')
Round:  21 User: 364 Train Loss: 6.181
Norm:  tensor(2.6863, device='cuda:2')
Round:  21 User: 365 Train Loss: 6.153
Norm:  tensor(2.7461, device='cuda:2')
Round:  21 User: 366 Train Loss: 6.140
Norm:  tensor(2.9054, device='cuda:2')
Round:  21 User: 367 Train Loss: 6.134
Norm:  tensor(2.7147, device='cuda:2')
Round:  21 User: 368 Train Loss: 6.124
Norm:  tensor(2.8201, device='cuda:2')
Round:  21 User: 369 Train Loss: 6.196
Norm:  tensor(2.7481, device='cuda:2')
Round:  21 User: 370 Train Loss: 6.200
Norm:  tensor(2.7253, device='cuda:2')
Round:  21 User: 371 Train Loss: 6.118
Norm:  tensor(2.7420, device='cuda:2')
Round:  21 User: 372 Train Loss: 6.159
Norm:  tensor(2.7710, device='cuda:2')
Round:  21 User: 373 Train Loss: 6.136
Norm:  tensor(2.9115, device='cuda:2')
Round:  21 User: 374 Train Loss: 6.106
Norm:  tensor(2.7583, device='cuda:2')
Round:  21 User: 375 Train Loss: 6.180
Norm:  tensor(2.7730, device='cuda:2')
Round:  21 User: 376 Train Loss: 6.102
Norm:  tensor(2.7552, device='cuda:2')
Round:  21 User: 377 Train Loss: 6.123
Norm:  tensor(2.8023, device='cuda:2')
Round:  21 User: 378 Train Loss: 6.125
Norm:  tensor(2.8106, device='cuda:2')
Round:  21 User: 379 Train Loss: 6.133
Norm:  tensor(2.7012, device='cuda:2')
Round:  21 User: 380 Train Loss: 6.164
Norm:  tensor(2.9060, device='cuda:2')
Round:  21 User: 381 Train Loss: 6.052
Norm:  tensor(2.6982, device='cuda:2')
Round:  21 User: 382 Train Loss: 6.114
Norm:  tensor(2.7520, device='cuda:2')
Round:  21 User: 383 Train Loss: 6.149
Norm:  tensor(2.8290, device='cuda:2')
Round:  21 User: 384 Train Loss: 6.164
Norm:  tensor(2.7077, device='cuda:2')
Round:  21 User: 385 Train Loss: 6.157
Norm:  tensor(2.6760, device='cuda:2')
Round:  21 User: 386 Train Loss: 6.138
Norm:  tensor(2.7593, device='cuda:2')
Round:  21 User: 387 Train Loss: 6.104
Norm:  tensor(2.8994, device='cuda:2')
Round:  21 User: 388 Train Loss: 6.177
Norm:  tensor(2.7921, device='cuda:2')
Round:  21 User: 389 Train Loss: 6.242
Norm:  tensor(2.6966, device='cuda:2')
Round:  21 User: 390 Train Loss: 6.136
Norm:  tensor(2.7350, device='cuda:2')
Round:  21 User: 391 Train Loss: 6.179
Norm:  tensor(2.8060, device='cuda:2')
Round:  21 User: 392 Train Loss: 6.046
Norm:  tensor(2.7332, device='cuda:2')
Round:  21 User: 393 Train Loss: 6.163
Norm:  tensor(2.7371, device='cuda:2')
Round:  21 User: 394 Train Loss: 6.047
Norm:  tensor(2.9374, device='cuda:2')
Round:  21 User: 395 Train Loss: 6.134
Norm:  tensor(2.7715, device='cuda:2')
Round:  21 User: 396 Train Loss: 6.135
Norm:  tensor(2.7718, device='cuda:2')
Round:  21 User: 397 Train Loss: 6.115
Norm:  tensor(2.7076, device='cuda:2')
Round:  21 User: 398 Train Loss: 6.125
Norm:  tensor(2.7241, device='cuda:2')
Round:  21 User: 399 Train Loss: 6.146
Norm:  tensor(2.6973, device='cuda:2')
Round:  21 User: 400 Train Loss: 6.167
Norm:  tensor(2.7897, device='cuda:2')
Round:  21 User: 401 Train Loss: 6.170
Norm:  tensor(2.7283, device='cuda:2')
Round:  21 User: 402 Train Loss: 6.141
Norm:  tensor(2.7028, device='cuda:2')
Round:  21 User: 403 Train Loss: 6.147
Norm:  tensor(2.7788, device='cuda:2')
Round:  21 User: 404 Train Loss: 6.226
Norm:  tensor(2.8030, device='cuda:2')
Round:  21 User: 405 Train Loss: 6.190
Norm:  tensor(2.8378, device='cuda:2')
Round:  21 User: 406 Train Loss: 6.138
Norm:  tensor(2.8516, device='cuda:2')
Round:  21 User: 407 Train Loss: 6.179
Norm:  tensor(2.7517, device='cuda:2')
Round:  21 User: 408 Train Loss: 6.186
Norm:  tensor(2.7669, device='cuda:2')
Round:  21 User: 409 Train Loss: 6.262
Norm:  tensor(2.8623, device='cuda:2')
Round:  21 User: 410 Train Loss: 6.148
Norm:  tensor(2.8563, device='cuda:2')
Round:  21 User: 411 Train Loss: 6.070
Norm:  tensor(2.7086, device='cuda:2')
Round:  21 User: 412 Train Loss: 6.091
Norm:  tensor(2.7481, device='cuda:2')
Round:  21 User: 413 Train Loss: 6.198
Norm:  tensor(2.8897, device='cuda:2')
Round:  21 User: 414 Train Loss: 6.146
Norm:  tensor(2.8147, device='cuda:2')
Round:  21 User: 415 Train Loss: 6.112
Norm:  tensor(2.9080, device='cuda:2')
Round:  21 User: 416 Train Loss: 6.086
Norm:  tensor(2.7005, device='cuda:2')
Round:  21 User: 417 Train Loss: 6.201
Norm:  tensor(2.6807, device='cuda:2')
Round:  21 User: 418 Train Loss: 6.093
Norm:  tensor(2.6027, device='cuda:2')
Round:  21 User: 419 Train Loss: 6.178
Norm:  tensor(2.8753, device='cuda:2')
Round:  21 User: 420 Train Loss: 6.142
Norm:  tensor(2.8982, device='cuda:2')
Round:  21 User: 421 Train Loss: 6.120
Norm:  tensor(2.6500, device='cuda:2')
Round:  21 User: 422 Train Loss: 6.184
Norm:  tensor(2.7152, device='cuda:2')
Round:  21 User: 423 Train Loss: 6.145
Norm:  tensor(2.8563, device='cuda:2')
Round:  21 User: 424 Train Loss: 6.114
Norm:  tensor(2.7072, device='cuda:2')
Round:  21 User: 425 Train Loss: 6.161
Norm:  tensor(2.8026, device='cuda:2')
Round:  21 User: 426 Train Loss: 6.170
Norm:  tensor(2.8878, device='cuda:2')
Round:  21 User: 427 Train Loss: 6.087
Norm:  tensor(2.8191, device='cuda:2')
Round:  21 User: 428 Train Loss: 6.174
Norm:  tensor(2.6960, device='cuda:2')
Round:  21 User: 429 Train Loss: 6.255
Norm:  tensor(2.6756, device='cuda:2')
Round:  21 User: 430 Train Loss: 6.138
Norm:  tensor(2.6781, device='cuda:2')
Round:  21 User: 431 Train Loss: 6.233
Norm:  tensor(2.7218, device='cuda:2')
Round:  21 User: 432 Train Loss: 6.071
Norm:  tensor(2.7174, device='cuda:2')
Round:  21 User: 433 Train Loss: 6.136
Norm:  tensor(2.6918, device='cuda:2')
Round:  21 User: 434 Train Loss: 6.151
Norm:  tensor(2.8372, device='cuda:2')
Round:  21 User: 435 Train Loss: 6.211
Norm:  tensor(3.0172, device='cuda:2')
Round:  21 User: 436 Train Loss: 6.055
Norm:  tensor(2.7800, device='cuda:2')
Round:  21 User: 437 Train Loss: 6.108
Norm:  tensor(2.7858, device='cuda:2')
Round:  21 User: 438 Train Loss: 6.209
Norm:  tensor(2.6438, device='cuda:2')
Round:  21 User: 439 Train Loss: 6.173
Norm:  tensor(2.7387, device='cuda:2')
Round:  21 User: 440 Train Loss: 6.100
Norm:  tensor(2.6861, device='cuda:2')
Round:  21 User: 441 Train Loss: 6.124
Norm:  tensor(2.8380, device='cuda:2')
Round:  21 User: 442 Train Loss: 6.140
Norm:  tensor(2.8243, device='cuda:2')
Round:  21 User: 443 Train Loss: 6.091
Norm:  tensor(2.6677, device='cuda:2')
Round:  21 User: 444 Train Loss: 6.243
Norm:  tensor(2.6512, device='cuda:2')
Round:  21 User: 445 Train Loss: 6.125
Norm:  tensor(2.7393, device='cuda:2')
Round:  21 User: 446 Train Loss: 6.104
Norm:  tensor(2.7148, device='cuda:2')
Round:  21 User: 447 Train Loss: 6.127
Norm:  tensor(2.8937, device='cuda:2')
Round:  21 User: 448 Train Loss: 6.130
Norm:  tensor(2.8506, device='cuda:2')
Round:  21 User: 449 Train Loss: 6.173
Norm:  tensor(2.7611, device='cuda:2')
Round:  21 User: 450 Train Loss: 6.058
Norm:  tensor(2.7161, device='cuda:2')
Round:  21 User: 451 Train Loss: 6.117
Norm:  tensor(2.7952, device='cuda:2')
Round:  21 User: 452 Train Loss: 6.203
Norm:  tensor(2.6966, device='cuda:2')
Round:  21 User: 453 Train Loss: 6.163
Norm:  tensor(2.6854, device='cuda:2')
Round:  21 User: 454 Train Loss: 6.198
Norm:  tensor(2.7495, device='cuda:2')
Round:  21 User: 455 Train Loss: 6.252
Norm:  tensor(2.7904, device='cuda:2')
Round:  21 User: 456 Train Loss: 6.120
Norm:  tensor(2.6740, device='cuda:2')
Round:  21 User: 457 Train Loss: 6.126
Norm:  tensor(2.7236, device='cuda:2')
Round:  21 User: 458 Train Loss: 6.143
Norm:  tensor(2.8012, device='cuda:2')
Round:  21 User: 459 Train Loss: 6.114
Norm:  tensor(2.8221, device='cuda:2')
Round:  21 User: 460 Train Loss: 6.124
Norm:  tensor(2.8161, device='cuda:2')
Round:  21 User: 461 Train Loss: 6.168
Norm:  tensor(2.8316, device='cuda:2')
Round:  21 User: 462 Train Loss: 6.143
Norm:  tensor(2.7681, device='cuda:2')
Round:  21 User: 463 Train Loss: 6.155
Norm:  tensor(2.8848, device='cuda:2')
Round:  21 User: 464 Train Loss: 6.178
Norm:  tensor(2.8470, device='cuda:2')
Round:  21 User: 465 Train Loss: 6.109
Norm:  tensor(2.8447, device='cuda:2')
Round:  21 User: 466 Train Loss: 6.080
Norm:  tensor(2.7282, device='cuda:2')
Round:  21 User: 467 Train Loss: 6.184
Norm:  tensor(2.8071, device='cuda:2')
Round:  21 User: 468 Train Loss: 6.208
Norm:  tensor(2.7393, device='cuda:2')
Round:  21 User: 469 Train Loss: 6.144
Norm:  tensor(2.6705, device='cuda:2')
Round:  21 User: 470 Train Loss: 6.108
Norm:  tensor(2.8045, device='cuda:2')
Round:  21 User: 471 Train Loss: 6.184
Norm:  tensor(2.7856, device='cuda:2')
Round:  21 User: 472 Train Loss: 6.139
Norm:  tensor(2.7941, device='cuda:2')
Round:  21 User: 473 Train Loss: 6.114
Norm:  tensor(2.7622, device='cuda:2')
Round:  21 User: 474 Train Loss: 6.169
Norm:  tensor(2.8267, device='cuda:2')
Round:  21 User: 475 Train Loss: 6.156
Norm:  tensor(2.8025, device='cuda:2')
Round:  21 User: 476 Train Loss: 6.115
Norm:  tensor(2.7373, device='cuda:2')
Round:  21 User: 477 Train Loss: 6.107
Norm:  tensor(2.8684, device='cuda:2')
Round:  21 User: 478 Train Loss: 6.113
Norm:  tensor(2.8143, device='cuda:2')
Round:  21 User: 479 Train Loss: 6.077
Norm:  tensor(2.7482, device='cuda:2')
Round:  21 User: 480 Train Loss: 6.142
Norm:  tensor(2.6337, device='cuda:2')
Round:  21 User: 481 Train Loss: 6.105
Norm:  tensor(2.8088, device='cuda:2')
Round:  21 User: 482 Train Loss: 6.075
Norm:  tensor(2.8489, device='cuda:2')
Round:  21 User: 483 Train Loss: 6.109
Norm:  tensor(2.6819, device='cuda:2')
Round:  21 User: 484 Train Loss: 6.093
Norm:  tensor(2.7624, device='cuda:2')
Round:  21 User: 485 Train Loss: 6.165
Norm:  tensor(2.7967, device='cuda:2')
Round:  21 User: 486 Train Loss: 6.152
Norm:  tensor(2.6846, device='cuda:2')
Round:  21 User: 487 Train Loss: 6.224
Norm:  tensor(2.7348, device='cuda:2')
Round:  21 User: 488 Train Loss: 6.092
Norm:  tensor(2.8164, device='cuda:2')
Round:  21 User: 489 Train Loss: 6.180
Norm:  tensor(2.7652, device='cuda:2')
Round:  21 User: 490 Train Loss: 6.167
Norm:  tensor(2.7343, device='cuda:2')
Round:  21 User: 491 Train Loss: 6.191
Norm:  tensor(2.7916, device='cuda:2')
Round:  21 User: 492 Train Loss: 6.208
Norm:  tensor(2.8210, device='cuda:2')
Round:  21 User: 493 Train Loss: 6.134
Norm:  tensor(2.9030, device='cuda:2')
Round:  21 User: 494 Train Loss: 6.102
Norm:  tensor(2.7039, device='cuda:2')
Round:  21 User: 495 Train Loss: 6.226
Norm:  tensor(2.7447, device='cuda:2')
Round:  21 User: 496 Train Loss: 6.202
Norm:  tensor(2.6822, device='cuda:2')
Round:  21 User: 497 Train Loss: 6.144
Norm:  tensor(2.7179, device='cuda:2')
Round:  21 User: 498 Train Loss: 6.231
Norm:  tensor(2.8561, device='cuda:2')
Round:  21 User: 499 Train Loss: 6.092
Norm:  tensor(2.8098, device='cuda:2')
Round:  21 User: 500 Train Loss: 6.199
Norm:  tensor(3.0607, device='cuda:2')
Round:  21 User: 501 Train Loss: 6.149
Norm:  tensor(2.7442, device='cuda:2')
Round:  21 User: 502 Train Loss: 6.105
Norm:  tensor(2.7767, device='cuda:2')
Round:  21 User: 503 Train Loss: 6.125
Norm:  tensor(2.9061, device='cuda:2')
Round:  21 User: 504 Train Loss: 6.187
Norm:  tensor(2.7835, device='cuda:2')
Round:  21 User: 505 Train Loss: 6.093
Norm:  tensor(2.8085, device='cuda:2')
Round:  21 User: 506 Train Loss: 6.112
Norm:  tensor(2.6999, device='cuda:2')
Round:  21 User: 507 Train Loss: 6.199
Norm:  tensor(2.6956, device='cuda:2')
Round:  21 User: 508 Train Loss: 6.064
Norm:  tensor(2.6746, device='cuda:2')
Round:  21 User: 509 Train Loss: 6.095
Norm:  tensor(2.6909, device='cuda:2')
Round:  21 User: 510 Train Loss: 6.108
Norm:  tensor(2.6434, device='cuda:2')
Round:  21 User: 511 Train Loss: 6.236
Norm:  tensor(2.7600, device='cuda:2')
Round:  21 User: 512 Train Loss: 6.160
Norm:  tensor(2.8711, device='cuda:2')
Round:  21 User: 513 Train Loss: 6.097
Norm:  tensor(2.8122, device='cuda:2')
Round:  21 User: 514 Train Loss: 6.081
Norm:  tensor(2.6996, device='cuda:2')
Round:  21 User: 515 Train Loss: 6.179
Norm:  tensor(2.6529, device='cuda:2')
Round:  21 User: 516 Train Loss: 6.270
Norm:  tensor(2.8407, device='cuda:2')
Round:  21 User: 517 Train Loss: 6.116
Norm:  tensor(2.7167, device='cuda:2')
Round:  21 User: 518 Train Loss: 6.220
Norm:  tensor(2.7948, device='cuda:2')
Round:  21 User: 519 Train Loss: 6.091
Norm:  tensor(2.7167, device='cuda:2')
Round:  21 User: 520 Train Loss: 6.124
Norm:  tensor(2.7109, device='cuda:2')
Round:  21 User: 521 Train Loss: 6.200
Norm:  tensor(2.7995, device='cuda:2')
Round:  21 User: 522 Train Loss: 6.227
Norm:  tensor(2.7862, device='cuda:2')
Round:  21 User: 523 Train Loss: 6.176
Norm:  tensor(2.8960, device='cuda:2')
Round:  21 User: 524 Train Loss: 6.145
Norm:  tensor(2.8307, device='cuda:2')
Round:  21 User: 525 Train Loss: 6.112
Norm:  tensor(2.8961, device='cuda:2')
Round:  21 User: 526 Train Loss: 6.077
Norm:  tensor(2.6544, device='cuda:2')
Round:  21 User: 527 Train Loss: 6.203
Norm:  tensor(2.7730, device='cuda:2')
Round:  21 User: 528 Train Loss: 6.171
Norm:  tensor(2.8343, device='cuda:2')
Round:  21 User: 529 Train Loss: 6.145
Norm:  tensor(2.7872, device='cuda:2')
Round:  21 User: 530 Train Loss: 6.140
Norm:  tensor(2.8172, device='cuda:2')
Round:  21 User: 531 Train Loss: 6.122
Norm:  tensor(2.8239, device='cuda:2')
Round:  21 User: 532 Train Loss: 6.155
Norm:  tensor(2.8075, device='cuda:2')
Round:  21 User: 533 Train Loss: 6.177
Norm:  tensor(2.7657, device='cuda:2')
Round:  21 User: 534 Train Loss: 6.109
Norm:  tensor(2.8279, device='cuda:2')
Round:  21 User: 535 Train Loss: 6.085
Norm:  tensor(2.7669, device='cuda:2')
Round:  21 User: 536 Train Loss: 6.156
Norm:  tensor(2.7774, device='cuda:2')
Round:  21 User: 537 Train Loss: 6.193
Norm:  tensor(2.8237, device='cuda:2')
Round:  21 User: 538 Train Loss: 6.149
Norm:  tensor(2.8461, device='cuda:2')
Round:  21 User: 539 Train Loss: 6.195
Norm:  tensor(2.7014, device='cuda:2')
Round:  21 User: 540 Train Loss: 6.124
Norm:  tensor(2.7297, device='cuda:2')
Round:  21 User: 541 Train Loss: 6.161
Norm:  tensor(2.7277, device='cuda:2')
Round:  21 User: 542 Train Loss: 6.095
Norm:  tensor(2.7585, device='cuda:2')
Round:  21 User: 543 Train Loss: 6.154
Norm:  tensor(2.7794, device='cuda:2')
Round:  21 User: 544 Train Loss: 6.171
Norm:  tensor(2.8216, device='cuda:2')
Round:  21 User: 545 Train Loss: 6.185
Norm:  tensor(2.5749, device='cuda:2')
Round:  21 User: 546 Train Loss: 6.190
Norm:  tensor(2.6974, device='cuda:2')
Round:  21 User: 547 Train Loss: 6.234
Norm:  tensor(2.6354, device='cuda:2')
Round:  21 User: 548 Train Loss: 6.119
Norm:  tensor(2.8160, device='cuda:2')
Round:  21 User: 549 Train Loss: 6.096
Norm:  tensor(2.8539, device='cuda:2')
Round:  21 User: 550 Train Loss: 6.090
Norm:  tensor(2.7061, device='cuda:2')
Round:  21 User: 551 Train Loss: 6.126
Norm:  tensor(2.8398, device='cuda:2')
Round:  21 User: 552 Train Loss: 6.152
Norm:  tensor(2.8704, device='cuda:2')
Round:  21 User: 553 Train Loss: 6.136
Norm:  tensor(2.7667, device='cuda:2')
Round:  21 User: 554 Train Loss: 6.139
Norm:  tensor(2.6802, device='cuda:2')
Round:  21 User: 555 Train Loss: 6.200
Norm:  tensor(2.7488, device='cuda:2')
Round:  21 User: 556 Train Loss: 6.129
Norm:  tensor(2.8861, device='cuda:2')
Round:  21 User: 557 Train Loss: 6.142
Norm:  tensor(2.7820, device='cuda:2')
Round:  21 User: 558 Train Loss: 6.153
Norm:  tensor(2.8178, device='cuda:2')
Round:  21 User: 559 Train Loss: 6.101
Norm:  tensor(2.7240, device='cuda:2')
Round:  21 User: 560 Train Loss: 6.142
Norm:  tensor(2.7624, device='cuda:2')
Round:  21 User: 561 Train Loss: 6.123
Norm:  tensor(2.7619, device='cuda:2')
Round:  21 User: 562 Train Loss: 6.174
Norm:  tensor(2.7258, device='cuda:2')
Round:  21 User: 563 Train Loss: 6.204
Norm:  tensor(2.6943, device='cuda:2')
Round:  21 User: 564 Train Loss: 6.095
