nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.06, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu=0.5, model_path='save/Cifar-10-DPFL-ResNet18-fedx', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0006, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=4)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Norm:  tensor(2.4581, device='cuda:2')
Round:  10 User: 311 Train Loss: 8.167
Norm:  tensor(2.4118, device='cuda:2')
Round:  10 User: 312 Train Loss: 8.280
Norm:  tensor(2.5451, device='cuda:2')
Round:  10 User: 313 Train Loss: 8.195
Norm:  tensor(2.3320, device='cuda:2')
Round:  10 User: 314 Train Loss: 8.204
Norm:  tensor(2.4133, device='cuda:2')
Round:  10 User: 315 Train Loss: 8.196
Norm:  tensor(2.5637, device='cuda:2')
Round:  10 User: 316 Train Loss: 8.244
Norm:  tensor(2.5591, device='cuda:2')
Round:  10 User: 317 Train Loss: 8.191
Norm:  tensor(2.3442, device='cuda:2')
Round:  10 User: 318 Train Loss: 8.403
Norm:  tensor(2.4635, device='cuda:2')
Round:  10 User: 319 Train Loss: 8.148
Norm:  tensor(2.5029, device='cuda:2')
Round:  10 User: 320 Train Loss: 8.128
Norm:  tensor(2.3490, device='cuda:2')
Round:  10 User: 321 Train Loss: 8.253
Norm:  tensor(2.3703, device='cuda:2')
Round:  10 User: 322 Train Loss: 8.173
Norm:  tensor(2.4938, device='cuda:2')
Round:  10 User: 323 Train Loss: 8.184
Norm:  tensor(2.4069, device='cuda:2')
Round:  10 User: 324 Train Loss: 8.348
Norm:  tensor(2.3768, device='cuda:2')
Round:  10 User: 325 Train Loss: 8.198
Norm:  tensor(2.4490, device='cuda:2')
Round:  10 User: 326 Train Loss: 8.247
Norm:  tensor(2.2949, device='cuda:2')
Round:  10 User: 327 Train Loss: 8.302
Norm:  tensor(2.4196, device='cuda:2')
Round:  10 User: 328 Train Loss: 8.286
Norm:  tensor(2.4461, device='cuda:2')
Round:  10 User: 329 Train Loss: 8.188
Norm:  tensor(2.3501, device='cuda:2')
Round:  10 User: 330 Train Loss: 8.255
Norm:  tensor(2.3997, device='cuda:2')
Round:  10 User: 331 Train Loss: 8.301
Norm:  tensor(2.2911, device='cuda:2')
Round:  10 User: 332 Train Loss: 8.312
Norm:  tensor(2.3121, device='cuda:2')
Round:  10 User: 333 Train Loss: 8.271
Norm:  tensor(2.3117, device='cuda:2')
Round:  10 User: 334 Train Loss: 8.324
Norm:  tensor(2.5053, device='cuda:2')
Round:  10 User: 335 Train Loss: 8.175
Norm:  tensor(2.3859, device='cuda:2')
Round:  10 User: 336 Train Loss: 8.255
Norm:  tensor(2.4631, device='cuda:2')
Round:  10 User: 337 Train Loss: 8.152
Norm:  tensor(2.4495, device='cuda:2')
Round:  10 User: 338 Train Loss: 8.245
Norm:  tensor(2.4821, device='cuda:2')
Round:  10 User: 339 Train Loss: 8.247
Norm:  tensor(2.4156, device='cuda:2')
Round:  10 User: 340 Train Loss: 8.249
Norm:  tensor(2.4525, device='cuda:2')
Round:  10 User: 341 Train Loss: 8.157
Norm:  tensor(2.3914, device='cuda:2')
Round:  10 User: 342 Train Loss: 8.173
Norm:  tensor(2.4561, device='cuda:2')
Round:  10 User: 343 Train Loss: 8.263
Norm:  tensor(2.4035, device='cuda:2')
Round:  10 User: 344 Train Loss: 8.183
Norm:  tensor(2.4845, device='cuda:2')
Round:  10 User: 345 Train Loss: 8.234
Norm:  tensor(2.4617, device='cuda:2')
Round:  10 User: 346 Train Loss: 8.200
Norm:  tensor(2.3974, device='cuda:2')
Round:  10 User: 347 Train Loss: 8.230
Norm:  tensor(2.4377, device='cuda:2')
Round:  10 User: 348 Train Loss: 8.171
Norm:  tensor(2.3392, device='cuda:2')
Round:  10 User: 349 Train Loss: 8.317
Norm:  tensor(2.4001, device='cuda:2')
Round:  10 User: 350 Train Loss: 8.235
Norm:  tensor(2.4835, device='cuda:2')
Round:  10 User: 351 Train Loss: 8.273
Norm:  tensor(2.5230, device='cuda:2')
Round:  10 User: 352 Train Loss: 8.151
Norm:  tensor(2.4583, device='cuda:2')
Round:  10 User: 353 Train Loss: 8.240
Norm:  tensor(2.4971, device='cuda:2')
Round:  10 User: 354 Train Loss: 8.218
Norm:  tensor(2.3582, device='cuda:2')
Round:  10 User: 355 Train Loss: 8.259
Norm:  tensor(2.4977, device='cuda:2')
Round:  10 User: 356 Train Loss: 8.225
Norm:  tensor(2.4578, device='cuda:2')
Round:  10 User: 357 Train Loss: 8.240
Norm:  tensor(2.4060, device='cuda:2')
Round:  10 User: 358 Train Loss: 8.251
Norm:  tensor(2.4240, device='cuda:2')
Round:  10 User: 359 Train Loss: 8.286
Norm:  tensor(2.3533, device='cuda:2')
Round:  10 User: 360 Train Loss: 8.239
Norm:  tensor(2.4228, device='cuda:2')
Round:  10 User: 361 Train Loss: 8.142
Norm:  tensor(2.3362, device='cuda:2')
Round:  10 User: 362 Train Loss: 8.201
Norm:  tensor(2.5727, device='cuda:2')
Round:  10 User: 363 Train Loss: 8.177
Norm:  tensor(2.4298, device='cuda:2')
Round:  10 User: 364 Train Loss: 8.224
Norm:  tensor(2.2512, device='cuda:2')
Round:  10 User: 365 Train Loss: 8.309
Norm:  tensor(2.4200, device='cuda:2')
Round:  10 User: 366 Train Loss: 8.277
Norm:  tensor(2.5182, device='cuda:2')
Round:  10 User: 367 Train Loss: 8.252
Norm:  tensor(2.3888, device='cuda:2')
Round:  10 User: 368 Train Loss: 8.164
Norm:  tensor(2.3805, device='cuda:2')
Round:  10 User: 369 Train Loss: 8.230
Norm:  tensor(2.3380, device='cuda:2')
Round:  10 User: 370 Train Loss: 8.241
Norm:  tensor(2.3728, device='cuda:2')
Round:  10 User: 371 Train Loss: 8.202
Norm:  tensor(2.3839, device='cuda:2')
Round:  10 User: 372 Train Loss: 8.209
Norm:  tensor(2.5166, device='cuda:2')
Round:  10 User: 373 Train Loss: 8.271
Norm:  tensor(2.4428, device='cuda:2')
Round:  10 User: 374 Train Loss: 8.221
Norm:  tensor(2.4727, device='cuda:2')
Round:  10 User: 375 Train Loss: 8.226
Norm:  tensor(2.4237, device='cuda:2')
Round:  10 User: 376 Train Loss: 8.235
Norm:  tensor(2.3813, device='cuda:2')
Round:  10 User: 377 Train Loss: 8.189
Norm:  tensor(2.5326, device='cuda:2')
Round:  10 User: 378 Train Loss: 8.214
Norm:  tensor(2.5563, device='cuda:2')
Round:  10 User: 379 Train Loss: 8.340
Norm:  tensor(2.3286, device='cuda:2')
Round:  10 User: 380 Train Loss: 8.276
Norm:  tensor(2.3850, device='cuda:2')
Round:  10 User: 381 Train Loss: 8.237
Norm:  tensor(2.4983, device='cuda:2')
Round:  10 User: 382 Train Loss: 8.209
Norm:  tensor(2.4295, device='cuda:2')
Round:  10 User: 383 Train Loss: 8.323
Norm:  tensor(2.3625, device='cuda:2')
Round:  10 User: 384 Train Loss: 8.229
Norm:  tensor(2.3252, device='cuda:2')
Round:  10 User: 385 Train Loss: 8.254
Norm:  tensor(2.4135, device='cuda:2')
Round:  10 User: 386 Train Loss: 8.247
Norm:  tensor(2.4684, device='cuda:2')
Round:  10 User: 387 Train Loss: 8.206
Norm:  tensor(2.2830, device='cuda:2')
Round:  10 User: 388 Train Loss: 8.302
Norm:  tensor(2.4753, device='cuda:2')
Round:  10 User: 389 Train Loss: 8.325
Norm:  tensor(2.4308, device='cuda:2')
Round:  10 User: 390 Train Loss: 8.225
Norm:  tensor(2.4224, device='cuda:2')
Round:  10 User: 391 Train Loss: 8.296
Norm:  tensor(2.5016, device='cuda:2')
Round:  10 User: 392 Train Loss: 8.184
Norm:  tensor(2.4319, device='cuda:2')
Round:  10 User: 393 Train Loss: 8.196
Norm:  tensor(2.4519, device='cuda:2')
Round:  10 User: 394 Train Loss: 8.184
Norm:  tensor(2.3258, device='cuda:2')
Round:  10 User: 395 Train Loss: 8.223
Norm:  tensor(2.4709, device='cuda:2')
Round:  10 User: 396 Train Loss: 8.326
Norm:  tensor(2.4927, device='cuda:2')
Round:  10 User: 397 Train Loss: 8.205
Norm:  tensor(2.1968, device='cuda:2')
Round:  10 User: 398 Train Loss: 8.321
Norm:  tensor(2.4744, device='cuda:2')
Round:  10 User: 399 Train Loss: 8.279
Norm:  tensor(2.4476, device='cuda:2')
Round:  10 User: 400 Train Loss: 8.206
Norm:  tensor(2.4058, device='cuda:2')
Round:  10 User: 401 Train Loss: 8.239
Norm:  tensor(2.4290, device='cuda:2')
Round:  10 User: 402 Train Loss: 8.308
Norm:  tensor(2.4635, device='cuda:2')
Round:  10 User: 403 Train Loss: 8.211
Norm:  tensor(2.3623, device='cuda:2')
Round:  10 User: 404 Train Loss: 8.229
Norm:  tensor(2.5038, device='cuda:2')
Round:  10 User: 405 Train Loss: 8.229
Norm:  tensor(2.5318, device='cuda:2')
Round:  10 User: 406 Train Loss: 8.209
Norm:  tensor(2.4446, device='cuda:2')
Round:  10 User: 407 Train Loss: 8.301
Norm:  tensor(2.2700, device='cuda:2')
Round:  10 User: 408 Train Loss: 8.262
Norm:  tensor(2.4465, device='cuda:2')
Round:  10 User: 409 Train Loss: 8.339
Norm:  tensor(2.3765, device='cuda:2')
Round:  10 User: 410 Train Loss: 8.263
Norm:  tensor(2.6328, device='cuda:2')
Round:  10 User: 411 Train Loss: 8.110
Norm:  tensor(2.4785, device='cuda:2')
Round:  10 User: 412 Train Loss: 8.221
Norm:  tensor(2.4641, device='cuda:2')
Round:  10 User: 413 Train Loss: 8.344
Norm:  tensor(2.4035, device='cuda:2')
Round:  10 User: 414 Train Loss: 8.152
Norm:  tensor(2.3911, device='cuda:2')
Round:  10 User: 415 Train Loss: 8.228
Norm:  tensor(2.3914, device='cuda:2')
Round:  10 User: 416 Train Loss: 8.239
Norm:  tensor(2.2310, device='cuda:2')
Round:  10 User: 417 Train Loss: 8.243
Norm:  tensor(2.4398, device='cuda:2')
Round:  10 User: 418 Train Loss: 8.247
Norm:  tensor(2.2780, device='cuda:2')
Round:  10 User: 419 Train Loss: 8.309
Norm:  tensor(2.3783, device='cuda:2')
Round:  10 User: 420 Train Loss: 8.235
Norm:  tensor(2.5276, device='cuda:2')
Round:  10 User: 421 Train Loss: 8.180
Norm:  tensor(2.3392, device='cuda:2')
Round:  10 User: 422 Train Loss: 8.220
Norm:  tensor(2.4470, device='cuda:2')
Round:  10 User: 423 Train Loss: 8.239
Norm:  tensor(2.4824, device='cuda:2')
Round:  10 User: 424 Train Loss: 8.209
Norm:  tensor(2.2545, device='cuda:2')
Round:  10 User: 425 Train Loss: 8.342
Norm:  tensor(2.3945, device='cuda:2')
Round:  10 User: 426 Train Loss: 8.263
Norm:  tensor(2.4299, device='cuda:2')
Round:  10 User: 427 Train Loss: 8.191
Norm:  tensor(2.4590, device='cuda:2')
Round:  10 User: 428 Train Loss: 8.153
Norm:  tensor(2.3576, device='cuda:2')
Round:  10 User: 429 Train Loss: 8.396
Norm:  tensor(2.4077, device='cuda:2')
Round:  10 User: 430 Train Loss: 8.128
Norm:  tensor(2.3369, device='cuda:2')
Round:  10 User: 431 Train Loss: 8.271
Norm:  tensor(2.3495, device='cuda:2')
Round:  10 User: 432 Train Loss: 8.127
Norm:  tensor(2.5003, device='cuda:2')
Round:  10 User: 433 Train Loss: 8.183
Norm:  tensor(2.4146, device='cuda:2')
Round:  10 User: 434 Train Loss: 8.262
Norm:  tensor(2.3921, device='cuda:2')
Round:  10 User: 435 Train Loss: 8.290
Norm:  tensor(2.3732, device='cuda:2')
Round:  10 User: 436 Train Loss: 8.153
Norm:  tensor(2.3974, device='cuda:2')
Round:  10 User: 437 Train Loss: 8.155
Norm:  tensor(2.3626, device='cuda:2')
Round:  10 User: 438 Train Loss: 8.255
Norm:  tensor(2.3430, device='cuda:2')
Round:  10 User: 439 Train Loss: 8.272
Norm:  tensor(2.3123, device='cuda:2')
Round:  10 User: 440 Train Loss: 8.159
Norm:  tensor(2.3366, device='cuda:2')
Round:  10 User: 441 Train Loss: 8.249
Norm:  tensor(2.3768, device='cuda:2')
Round:  10 User: 442 Train Loss: 8.280
Norm:  tensor(2.4430, device='cuda:2')
Round:  10 User: 443 Train Loss: 8.226
Norm:  tensor(2.3376, device='cuda:2')
Round:  10 User: 444 Train Loss: 8.293
Norm:  tensor(2.4417, device='cuda:2')
Round:  10 User: 445 Train Loss: 8.153
Norm:  tensor(2.3068, device='cuda:2')
Round:  10 User: 446 Train Loss: 8.133
Norm:  tensor(2.3615, device='cuda:2')
Round:  10 User: 447 Train Loss: 8.270
Norm:  tensor(2.4872, device='cuda:2')
Round:  10 User: 448 Train Loss: 8.190
Norm:  tensor(2.4325, device='cuda:2')
Round:  10 User: 449 Train Loss: 8.273
Norm:  tensor(2.4962, device='cuda:2')
Round:  10 User: 450 Train Loss: 8.176
Norm:  tensor(2.3717, device='cuda:2')
Round:  10 User: 451 Train Loss: 8.190
Norm:  tensor(2.4673, device='cuda:2')
Round:  10 User: 452 Train Loss: 8.161
Norm:  tensor(2.3682, device='cuda:2')
Round:  10 User: 453 Train Loss: 8.325
Norm:  tensor(2.3396, device='cuda:2')
Round:  10 User: 454 Train Loss: 8.263
Norm:  tensor(2.3921, device='cuda:2')
Round:  10 User: 455 Train Loss: 8.289
Norm:  tensor(2.2836, device='cuda:2')
Round:  10 User: 456 Train Loss: 8.282
Norm:  tensor(2.3489, device='cuda:2')
Round:  10 User: 457 Train Loss: 8.199
Norm:  tensor(2.3764, device='cuda:2')
Round:  10 User: 458 Train Loss: 8.352
Norm:  tensor(2.2874, device='cuda:2')
Round:  10 User: 459 Train Loss: 8.291
Norm:  tensor(2.3735, device='cuda:2')
Round:  10 User: 460 Train Loss: 8.202
Norm:  tensor(2.4361, device='cuda:2')
Round:  10 User: 461 Train Loss: 8.349
Norm:  tensor(2.4832, device='cuda:2')
Round:  10 User: 462 Train Loss: 8.208
Norm:  tensor(2.3423, device='cuda:2')
Round:  10 User: 463 Train Loss: 8.226
Norm:  tensor(2.4457, device='cuda:2')
Round:  10 User: 464 Train Loss: 8.371
Norm:  tensor(2.4272, device='cuda:2')
Round:  10 User: 465 Train Loss: 8.228
Norm:  tensor(2.3447, device='cuda:2')
Round:  10 User: 466 Train Loss: 8.155
Norm:  tensor(2.3102, device='cuda:2')
Round:  10 User: 467 Train Loss: 8.343
Norm:  tensor(2.4316, device='cuda:2')
Round:  10 User: 468 Train Loss: 8.291
Norm:  tensor(2.3804, device='cuda:2')
Round:  10 User: 469 Train Loss: 8.259
Norm:  tensor(2.3206, device='cuda:2')
Round:  10 User: 470 Train Loss: 8.147
Norm:  tensor(2.3751, device='cuda:2')
Round:  10 User: 471 Train Loss: 8.358
Norm:  tensor(2.4130, device='cuda:2')
Round:  10 User: 472 Train Loss: 8.269
Norm:  tensor(2.4355, device='cuda:2')
Round:  10 User: 473 Train Loss: 8.091
Norm:  tensor(2.2948, device='cuda:2')
Round:  10 User: 474 Train Loss: 8.247
Norm:  tensor(2.5423, device='cuda:2')
Round:  10 User: 475 Train Loss: 8.164
Norm:  tensor(2.2988, device='cuda:2')
Round:  10 User: 476 Train Loss: 8.232
Norm:  tensor(2.4467, device='cuda:2')
Round:  10 User: 477 Train Loss: 8.159
Norm:  tensor(2.5677, device='cuda:2')
Round:  10 User: 478 Train Loss: 8.243
Norm:  tensor(2.4163, device='cuda:2')
Round:  10 User: 479 Train Loss: 8.178
Norm:  tensor(2.4066, device='cuda:2')
Round:  10 User: 480 Train Loss: 8.271
Norm:  tensor(2.3562, device='cuda:2')
Round:  10 User: 481 Train Loss: 8.182
Norm:  tensor(2.4477, device='cuda:2')
Round:  10 User: 482 Train Loss: 8.115
Norm:  tensor(2.4046, device='cuda:2')
Round:  10 User: 483 Train Loss: 8.244
Norm:  tensor(2.4697, device='cuda:2')
Round:  10 User: 484 Train Loss: 8.196
Norm:  tensor(2.2973, device='cuda:2')
Round:  10 User: 485 Train Loss: 8.340
Norm:  tensor(2.3595, device='cuda:2')
Round:  10 User: 486 Train Loss: 8.226
Norm:  tensor(2.2865, device='cuda:2')
Round:  10 User: 487 Train Loss: 8.334
Norm:  tensor(2.5577, device='cuda:2')
Round:  10 User: 488 Train Loss: 8.208
Norm:  tensor(2.6186, device='cuda:2')
Round:  10 User: 489 Train Loss: 8.218
Norm:  tensor(2.3828, device='cuda:2')
Round:  10 User: 490 Train Loss: 8.227
Norm:  tensor(2.4035, device='cuda:2')
Round:  10 User: 491 Train Loss: 8.278
Norm:  tensor(2.5239, device='cuda:2')
Round:  10 User: 492 Train Loss: 8.252
Norm:  tensor(2.3766, device='cuda:2')
Round:  10 User: 493 Train Loss: 8.140
Norm:  tensor(2.4738, device='cuda:2')
Round:  10 User: 494 Train Loss: 8.115
Norm:  tensor(2.4401, device='cuda:2')
Round:  10 User: 495 Train Loss: 8.312
Norm:  tensor(2.3683, device='cuda:2')
Round:  10 User: 496 Train Loss: 8.322
Norm:  tensor(2.3207, device='cuda:2')
Round:  10 User: 497 Train Loss: 8.283
Norm:  tensor(2.3403, device='cuda:2')
Round:  10 User: 498 Train Loss: 8.327
Norm:  tensor(2.5274, device='cuda:2')
Round:  10 User: 499 Train Loss: 8.182
Norm:  tensor(2.4879, device='cuda:2')
Round:  10 User: 500 Train Loss: 8.229
Norm:  tensor(2.4241, device='cuda:2')
Round:  10 User: 501 Train Loss: 8.230
Norm:  tensor(2.3709, device='cuda:2')
Round:  10 User: 502 Train Loss: 8.167
Norm:  tensor(2.4080, device='cuda:2')
Round:  10 User: 503 Train Loss: 8.286
Norm:  tensor(2.5086, device='cuda:2')
Round:  10 User: 504 Train Loss: 8.299
Norm:  tensor(2.4446, device='cuda:2')
Round:  10 User: 505 Train Loss: 8.230
Norm:  tensor(2.4553, device='cuda:2')
Round:  10 User: 506 Train Loss: 8.194
Norm:  tensor(2.4141, device='cuda:2')
Round:  10 User: 507 Train Loss: 8.303
Norm:  tensor(2.5726, device='cuda:2')
Round:  10 User: 508 Train Loss: 8.132
Norm:  tensor(2.4184, device='cuda:2')
Round:  10 User: 509 Train Loss: 8.160
Norm:  tensor(2.3392, device='cuda:2')
Round:  10 User: 510 Train Loss: 8.276
Norm:  tensor(2.3798, device='cuda:2')
Round:  10 User: 511 Train Loss: 8.326
Norm:  tensor(2.3487, device='cuda:2')
Round:  10 User: 512 Train Loss: 8.310
Norm:  tensor(2.3887, device='cuda:2')
Round:  10 User: 513 Train Loss: 8.192
Norm:  tensor(2.4163, device='cuda:2')
Round:  10 User: 514 Train Loss: 8.170
Norm:  tensor(2.4718, device='cuda:2')
Round:  10 User: 515 Train Loss: 8.305
Norm:  tensor(2.3625, device='cuda:2')
Round:  10 User: 516 Train Loss: 8.367
Norm:  tensor(2.4019, device='cuda:2')
Round:  10 User: 517 Train Loss: 8.301
Norm:  tensor(2.4053, device='cuda:2')
Round:  10 User: 518 Train Loss: 8.258
Norm:  tensor(2.5750, device='cuda:2')
Round:  10 User: 519 Train Loss: 8.160
Norm:  tensor(2.4599, device='cuda:2')
Round:  10 User: 520 Train Loss: 8.157
Norm:  tensor(2.3848, device='cuda:2')
Round:  10 User: 521 Train Loss: 8.347
Norm:  tensor(2.4797, device='cuda:2')
Round:  10 User: 522 Train Loss: 8.314
Norm:  tensor(2.3674, device='cuda:2')
Round:  10 User: 523 Train Loss: 8.256
Norm:  tensor(2.4317, device='cuda:2')
Round:  10 User: 524 Train Loss: 8.205
Norm:  tensor(2.3904, device='cuda:2')
Round:  10 User: 525 Train Loss: 8.145
Norm:  tensor(2.5546, device='cuda:2')
Round:  10 User: 526 Train Loss: 8.170
Norm:  tensor(2.3994, device='cuda:2')
Round:  10 User: 527 Train Loss: 8.202
Norm:  tensor(2.3835, device='cuda:2')
Round:  10 User: 528 Train Loss: 8.257
Norm:  tensor(2.5070, device='cuda:2')
Round:  10 User: 529 Train Loss: 8.312
Norm:  tensor(2.4434, device='cuda:2')
Round:  10 User: 530 Train Loss: 8.138
Norm:  tensor(2.3959, device='cuda:2')
Round:  10 User: 531 Train Loss: 8.180
Norm:  tensor(2.3874, device='cuda:2')
Round:  10 User: 532 Train Loss: 8.246
Norm:  tensor(2.3707, device='cuda:2')
Round:  10 User: 533 Train Loss: 8.262
Norm:  tensor(2.4992, device='cuda:2')
Round:  10 User: 534 Train Loss: 8.194
Norm:  tensor(2.3404, device='cuda:2')
Round:  10 User: 535 Train Loss: 8.177
Norm:  tensor(2.3764, device='cuda:2')
Round:  10 User: 536 Train Loss: 8.331
Norm:  tensor(2.3412, device='cuda:2')
Round:  10 User: 537 Train Loss: 8.234
Norm:  tensor(2.4046, device='cuda:2')
Round:  10 User: 538 Train Loss: 8.278
Norm:  tensor(2.4613, device='cuda:2')
Round:  10 User: 539 Train Loss: 8.201
Norm:  tensor(2.3628, device='cuda:2')
Round:  10 User: 540 Train Loss: 8.258
Norm:  tensor(2.4647, device='cuda:2')
Round:  10 User: 541 Train Loss: 8.212
Norm:  tensor(2.3804, device='cuda:2')
Round:  10 User: 542 Train Loss: 8.188
Norm:  tensor(2.5025, device='cuda:2')
Round:  10 User: 543 Train Loss: 8.239
Norm:  tensor(2.4660, device='cuda:2')
Round:  10 User: 544 Train Loss: 8.244
Norm:  tensor(2.3068, device='cuda:2')
Round:  10 User: 545 Train Loss: 8.288
Norm:  tensor(2.3743, device='cuda:2')
Round:  10 User: 546 Train Loss: 8.284
Norm:  tensor(2.3682, device='cuda:2')
Round:  10 User: 547 Train Loss: 8.382
Norm:  tensor(2.3821, device='cuda:2')
Round:  10 User: 548 Train Loss: 8.363
Norm:  tensor(2.5095, device='cuda:2')
Round:  10 User: 549 Train Loss: 8.199
Norm:  tensor(2.4829, device='cuda:2')
Round:  10 User: 550 Train Loss: 8.220
Norm:  tensor(2.4065, device='cuda:2')
Round:  10 User: 551 Train Loss: 8.256
Norm:  tensor(2.4312, device='cuda:2')
Round:  10 User: 552 Train Loss: 8.207
Norm:  tensor(2.3096, device='cuda:2')
Round:  10 User: 553 Train Loss: 8.332
Norm:  tensor(2.4451, device='cuda:2')
Round:  10 User: 554 Train Loss: 8.107
Norm:  tensor(2.4931, device='cuda:2')
Round:  10 User: 555 Train Loss: 8.281
Norm:  tensor(2.4032, device='cuda:2')
Round:  10 User: 556 Train Loss: 8.221
Norm:  tensor(2.3198, device='cuda:2')
Round:  10 User: 557 Train Loss: 8.169
Norm:  tensor(2.5725, device='cuda:2')
Round:  10 User: 558 Train Loss: 8.246
Norm:  tensor(2.3272, device='cuda:2')
Round:  10 User: 559 Train Loss: 8.128
Norm:  tensor(2.4170, device='cuda:2')
Round:  10 User: 560 Train Loss: 8.216
Norm:  tensor(2.3820, device='cuda:2')
Round:  10 User: 561 Train Loss: 8.208
Norm:  tensor(2.3662, device='cuda:2')
Round:  10 User: 562 Train Loss: 8.241
Norm:  tensor(2.5047, device='cuda:2')
Round:  10 User: 563 Train Loss: 8.202
Norm:  tensor(2.3670, device='cuda:2')
Round:  10 User: 564 Train Loss: 8.149
Norm:  tensor(2.3811, device='cuda:2')
Round:  10 User: 565 Train Loss: 8.120
Norm:  tensor(2.3879, device='cuda:2')
